organization_id,supervising_agency_id,agency_id,bureau_office,division,department,section,team,unit
1416,43,43,大臣官房,化学物質安全課,環境保健部,化学物質審査室,,
1417,43,43,大臣官房,企画課,環境保健部,保健業務室,,
1418,43,43,大臣官房,企画課,環境保健部,特殊疾病対策室,,
1419,43,43,大臣官房,企画課,環境保健部,石綿健康被害対策室,,
1420,43,43,大臣官房,環境経済課,,,,経済的措置係
1421,43,43,大臣官房,地域政策課,,地域循環共生圏推進室,,
1422,43,43,大臣官房,総合政策課,,民間活動支援室,,
1423,43,43,大臣官房,総合政策課,,環境教育推進室,,
1424,43,43,大臣官房,総合政策課,,環境計画室,,
1425,43,43,大臣官房,環境影響評価課,,,,
1426,43,43,環境調査研修所,総務課,国立水俣病総合研究センター,,,経理係
1427,43,43,自然環境局,総務課,,動物愛護管理室,,
1428,43,43,大臣官房,総務課,,環境情報室,,
1429,43,43,大臣官房,総務課,,広報室,,広報係
1430,43,43,環境調査研修所,,,,,
1431,43,43,大臣官房,総務課,,,,法令係
1432,43,43,大臣官房,放射線健康管理担当参事官室,環境保健部,,,総括第一係
1433,43,43,大臣官房,会計課,,庁舎管理室,,調整係
1434,43,43,大臣官房,秘書課,,地方環境室,,
1435,43,43,大臣官房,総合政策課,,,,
1436,44,44,原子力規制庁,技術基盤グループ　技術基盤課,長官官房,,,
1437,45,45,防衛装備庁,事業監理官（宇宙・地上装備担当）,プロジェクト管理部,,,
1438,43,43,環境再生・資源循環局,環境再生事業担当参事官室,,福島再生・未来志向プロジェクト推進室,,
1439,43,43,大臣官房,総合政策課,,企画評価・政策プロモーション室,,
1440,43,43,自然環境局,自然環境整備課,,温泉地保護利用推進室,,温泉保護係
1441,34,34,商務情報政策局,情報経済課,,,,
1442,44,44,原子力規制庁,総務課,長官官房,広報室,,
1443,44,44,原子力規制庁,総務課,長官官房,国際室,,
1444,44,44,原子力安全人材育成センター,人材育成課,,,,
1445,44,44,原子力安全人材育成センター,原子炉技術研修課,,,,
1446,44,44,原子力規制庁,人事課,長官官房,,,
1447,44,44,原子力規制庁,審査グループ　研究炉等審査部門,原子力規制部,,,
1448,44,44,原子力規制庁,検査グループ　検査監督総括課,原子力規制部,,,
1449,44,44,原子力規制庁,技術基盤グループ　システム安全研究部門,長官官房,,,
1450,44,44,原子力規制庁,技術基盤グループ　地震・津波研究部門,長官官房,,,
1451,44,44,原子力規制庁,放射線防護グループ　核セキュリティ部門,長官官房,,,
1452,44,44,原子力規制庁,放射線防護グループ　放射線防護企画課,長官官房,保障措置室,,
1453,44,44,原子力規制庁,放射線防護グループ　監視情報課,長官官房,放射線環境対策室,,
1454,44,44,原子力規制庁,放射線防護グループ　監視情報課,長官官房,,,
1455,44,44,原子力規制庁,技術基盤グループ　放射線・廃棄物研究部門,長官官房,,,
1456,44,44,原子力規制庁,放射線防護グループ　放射線規制部門,長官官房,,,
1457,44,44,原子力規制庁,総務課,長官官房,情報システム室,,
1458,44,44,原子力規制庁,放射線防護グループ　放射線防護企画課,長官官房,,,
1459,45,45,,サイバー整備課,内部部局/整備計画局,,,
1460,45,45,防衛装備庁,事業監理官（航空機担当）,プロジェクト管理部,,,
1461,45,45,防衛装備庁,事業監理官（艦船担当）,プロジェクト管理部,,,
1462,45,45,,人材育成課,内部部局/人事教育局,,,
1463,45,45,防衛装備庁,事業監理官（誘導武器・統合装備担当）,プロジェクト管理部,,,
1464,45,45,防衛装備庁,技術計画官,技術戦略部,技術評価室,,
1465,45,45,,運用調整参事官,内部部局/防衛政策局,,,
1466,45,45,防衛装備庁,事業監理官（次期戦闘機担当）,プロジェクト管理部,,,
1467,45,45,防衛装備庁,装備政策課,装備政策部,,制度企画班,
1468,45,45,,衛生官,内部部局/人事教育局,,,
1469,45,45,,会計課,内部部局/大臣官房,庁舎管理室,,
